,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
855,100898,2,1,190114,1,4,41,1,41059,R,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,1,,,1,,2,1,1,2,15,1,2,1,67,1,7,3,2,1,,,,1,,7,2,,2,2,,,1,0.3474053,0.5608998
856,100899,2,1,190114,1,4,53,1,53047,,2,1,1,1,2,1,2,,,,1,1,1,2,2,2,2,2,2,2,,,2,2,1,2,1,2,2,2,2,,,2,,1,2,2,1,0,,,,20,2,2,4,2,5,,,,5,,1,3,1,2,2,,,2,1.6285104,1.5318521
857,100908,2,1,190115,1,2,17,2,12105,U,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,1,1,1,2,1,2,1,2,,1,1,2,,1,1,2,13,1,1,1,31,1,6,1,2,1,,,,1,,8,3,2,2,2,,,2,1.0083873,0.7289714
858,100909,2,1,190115,1,3,24,4,11001,S,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,2,,,1,1,2,15,1,2,2,70,1,6,1,2,1,,,,1,,9,2,,2,2,,,1,0.3952943,0.4636397
859,100910,2,1,190115,1,3,47,1,12105,R,2,1,1,1,1,1,2,,,,1,1,1,1,2,2,1,1,1,2,,3,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,0,,,,25,6,7,2,2,1,,,,1,,3,1,,6,6,,,2,0.9442575,0.7611541
860,100913,2,1,190115,1,1,36,4,36061,S,2,1,1,1,2,2,1,2,,,1,4,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,1,1,2,97,2,2,1,62,1,5,1,2,1,,,,1,,9,3,1,6,5,,,1,0.6656387,0.5883127
861,100914,2,1,190115,1,3,37,1,37053,R,2,1,1,1,3,2,1,8,,,2,,8,2,2,2,,2,8,2,,,2,2,2,2,2,2,2,2,2,,,,,,1,2,2,2,1,2,2,64,1,3,1,2,1,,,,1,,7,3,2,2,2,,,2,1.0259861,0.9233272
862,100918,2,1,190116,1,2,26,2,26065,S,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,2,1,2,1,2,1,1,2,2,,1,,3,1,1,1,40,1,2,1,55,1,6,1,2,1,,,,1,,9,3,2,3,3,,,2,0.4198187,0.3621883
863,100919,2,1,190115,1,3,13,3,13135,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,2,1,2,1,2,1,1,2,3,,3,,3,1,1,1,25,1,2,1,70,1,7,3,2,1,,,,1,,8,1,,2,2,,,1,0.4171403,0.5137221
864,100920,2,1,190115,1,1,42,3,42069,U,2,1,1,1,4,1,2,,,,1,1,2,2,1,1,1,2,1,2,,5,2,1,1,1,1,2,2,2,2,,5,1,5,3,2,2,2,0,,,,50,6,4,4,2,1,,,,1,,2,2,,1,,,,2,1.0908761,0.9587002
865,100924,2,1,190115,1,2,18,2,18035,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,1,1,1,2,,,2,,3,1,1,1,1,1,1,1,47,1,8,2,2,1,,,,1,,9,9,9,3,2,,,1,0.7484201,0.7318716
866,100927,2,1,190115,1,1,9,2,9015,,2,1,1,2,2,2,1,2,,,2,,,,,,,,,,,,2,2,2,2,1,2,2,1,2,,,,,1,2,1,2,5,1,1,2,57,1,7,1,2,1,,,,1,,8,3,1,2,2,,,2,0.4233966,0.3621883
867,100929,2,1,190115,1,1,42,2,42073,R,2,1,1,2,5,2,2,,,,2,,2,1,1,1,,1,8,2,,1,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,1,1,2,2,66,6,4,3,2,1,,,,1,,1,3,2,1,,,,2,0.8872485,0.9586858
868,100930,2,1,190115,1,1,36,3,36061,S,2,2,1,1,2,2,1,2,,,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,99,,,,99,1,6,1,2,1,,,,1,,3,3,8,5,3,,,1,0.6425329,0.7099225
869,100933,2,1,190115,1,1,42,4,42017,,2,2,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,1,12,1,2,2,53,1,3,1,2,1,,,,1,,99,9,9,9,9,,,9,1.619144,1.5387807
870,100935,2,1,190115,1,1,9,4,9007,U,2,1,1,1,4,1,2,,,,2,,2,2,2,1,,1,1,2,,5,2,2,1,2,1,2,2,2,2,,,2,,1,2,2,1,13,1,2,2,22,1,3,1,1,1,,,,1,1,2,3,1,3,2,,,1,0.6523289,0.5914018
871,100937,2,1,190115,1,3,37,3,37035,U,2,1,1,1,1,2,1,2,,,1,4,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,4,2,1,2,2,1,2,1,63,1,5,1,2,1,,,,1,,8,1,,2,2,,,1,0.6395262,0.647114
872,100938,2,1,190115,1,1,42,4,42077,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,4,1,1,2,3,1,2,1,64,1,5,2,2,1,,,,1,,99,1,,2,2,,,2,1.0121983,1.1389763
873,100940,2,1,190115,1,2,39,1,39147,R,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,1,1,1,1,0,,,,50,1,5,5,2,9,,,,9,,8,1,,7,2,,,1,1.1319828,1.3439332
874,100941,2,1,190115,1,3,12,4,12057,S,2,1,1,1,3,2,1,3,,,1,3,,,,,,,,,,,2,1,2,2,1,1,1,2,2,,3,,,3,2,1,1,7,1,2,2,33,1,4,1,1,1,,,,1,2,9,1,,4,1,,,2,1.298273,0.9400383
875,100942,2,1,190115,1,3,47,3,47093,U,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,2,2,2,1,2,,,5,,,2,1,2,5,1,2,1,56,1,6,1,2,1,,,,1,,7,2,,3,2,,,2,0.6884055,0.704751
876,100943,2,1,190207,1,3,51,5,51059,,2,1,1,1,4,1,2,,,,1,1,2,2,1,1,1,1,1,2,,1,1,1,1,1,2,1,2,2,2,1,4,3,2,,2,2,2,25,1,2,2,50,1,8,1,1,1,,,,1,8,8,8,8,9,9,,,9,0.4429693,0.39605
877,100944,2,1,190115,1,1,36,2,36007,,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,3,2,1,1,5,1,2,1,47,1,7,4,2,1,,,,1,,7,1,,5,2,,,1,0.7547984,0.7791572
878,100945,2,1,190115,1,3,24,4,24031,S,2,2,2,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,1,1,1,2,2,2,2,,,5,5,1,2,2,2,0,,,,18,6,3,4,2,2,,,,2,,1,3,2,4,1,,,1,0.9463073,1.2607121
879,100946,2,1,190115,1,3,21,4,21111,S,2,1,1,1,2,2,1,2,,,1,3,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,4,1,1,2,0,,,,69,1,6,3,2,1,,,,1,,7,1,,2,2,,,1,0.3952943,0.4636397
880,100947,2,1,190115,1,2,39,2,39159,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,2,1,2,2,1,2,1,81,5,6,8,2,1,,,,1,,4,1,,1,,,,1,0.3474053,0.6531048
881,100948,2,1,190115,1,3,21,4,21111,S,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,2,1,2,1,1,2,1,1,1,,1,,1,1,1,1,30,1,1,1,54,1,6,4,2,1,,,,1,,2,3,2,4,3,,,2,0.5696713,0.4403462
