,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
421,100202,2,1,190109,1,4,35,3,35001,U,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,3,,,1,1,1,3,2,2,1,50,1,5,1,2,1,,,,1,,9,1,,2,2,,,2,0.9009366,0.7827948
422,100203,2,1,190109,1,4,8,3,8031,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,2,1,2,2,1,1,3,1,2,2,1,2,10,1,2,2,19,6,4,2,2,1,,,,1,,8,3,2,4,3,,,1,2.2433447,2.0699671
423,100206,2,1,190109,1,4,49,4,49035,S,2,2,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,2,1,1,25,1,1,2,68,1,8,3,2,1,,,,1,,9,1,,3,3,,,1,0.3995981,0.5159874
424,100207,2,1,190109,1,4,49,1,49035,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,1,1,1,2,,5,3,,3,1,1,2,10,2,1,2,27,1,6,2,2,1,,,,1,,5,1,,3,2,,,2,1.1944143,1.0644006
425,100209,2,1,190109,1,4,6,4,6067,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,1,1,2,1,1,2,1,2,,2,1,,4,2,1,2,30,1,2,1,51,1,8,1,2,1,,,,1,,8,2,,3,3,,,1,0.439131,0.3621885
426,100210,2,1,190109,1,4,41,2,41051,S,2,1,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,1,2,1,2,,,3,,1,2,1,2,4,1,2,2,68,1,6,3,2,1,,,,1,,7,1,,2,2,,,2,0.4088151,0.419585
427,100213,2,1,190109,1,4,6,3,6077,S,2,1,2,2,,2,2,,,,2,,2,2,2,2,,2,2,1,Just dont need it,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,63,3,3,6,2,1,,,,1,,2,1,,1,,,,2,0.8727015,0.7741009
428,100214,2,1,190109,1,4,6,3,6111,,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,2,2,2,1,5,3,2,1,1,2,1,1,30,1,2,1,26,6,4,4,1,1,,,,1,1,2,2,,1,,,,2,2.0601237,1.6706265
429,100215,2,1,190109,1,4,6,5,6037,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,3,,,2,2,1,3,1,2,2,48,1,4,2,2,1,,,,1,,99,8,8,5,4,,,1,1.5271336,1.5677521
430,100218,2,1,190109,1,4,6,5,6037,S,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,1,1,1,1,2,2,2,2,,1,1,3,1,2,1,1,12,1,1,2,20,6,3,2,2,1,,,,1,,9,2,,4,4,,,1,1.0472567,0.8423972
431,100219,2,1,190110,1,3,12,3,12053,S,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,1,1,1,2,,,2,,1,1,1,1,3,1,2,2,32,1,6,1,2,1,,,,1,,7,1,,4,2,,,2,1.0085038,0.7758437
432,100220,2,1,190110,1,2,39,4,39153,S,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,2,1,1,,,,,1,1,1,1,0,,,,32,6,7,1,2,1,,,,1,,8,2,,3,3,,,2,0.9137952,0.6625391
433,100221,2,1,190110,1,3,24,4,24003,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,1,1,2,2,1,1,5,1,1,1,1,1,1,1,10,1,2,2,20,6,3,2,2,3,,,,3,,6,3,8,4,3,,,2,1.0961006,0.8785868
434,100224,2,1,190110,1,3,12,2,12083,U,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,2,1,2,2,1,1,3,1,2,1,2,1,0,,,,19,6,3,1,2,1,,,,1,,98,8,8,4,3,,,2,1.8501246,1.4338009
435,100225,2,1,190110,1,1,36,3,36063,U,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,2,1,1,1,2,2,3,1,1,,3,1,1,1,9,1,2,2,99,1,4,1,9,9,,,,9,,8,2,,3,2,,,2,1.0681374,1.262009
436,100226,2,1,190110,1,3,48,1,47093,U,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,1,1,2,3,1,2,1,55,3,4,2,2,1,,,,1,,3,1,,1,,,,1,0.4383148,0.6348617
437,100229,2,1,190110,1,1,33,2,33017,S,2,1,1,1,2,1,1,8,,,1,1,1,2,1,1,1,1,8,1,money,4,2,2,1,2,1,1,2,1,2,,,5,,2,1,1,2,2,1,2,2,73,1,7,2,2,1,,,,1,,8,1,,2,2,,,1,0.4206466,0.5138718
438,100234,2,1,190110,1,3,37,1,37163,,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,2,1,1,1,1,2,1,,1,,1,1,1,1,1,6,1,2,2,18,6,3,2,2,1,,,,1,,98,1,,7,5,,,1,0.9247118,0.7631892
439,100235,2,1,190110,1,1,34,4,34025,S,2,1,1,2,2,1,1,2,,,2,,,,,,,,,,,,2,2,1,2,1,2,1,2,1,,,1,,8,2,1,2,98,1,2,2,69,6,6,4,1,1,,,,1,1,2,3,2,2,2,,,1,0.3532422,0.4777871
440,100236,2,1,190110,1,3,12,4,12031,U,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,3,1,,1,2,2,1,1,1,2,1,23,6,4,1,1,3,7,,,4,1,4,4,2,3,3,,,2,2.2433447,1.6487136
441,100237,2,1,190110,1,3,45,2,45015,S,2,1,1,1,2,2,1,2,,,1,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,6,1,2,2,60,1,5,1,2,1,,,,1,,8,3,1,3,3,,,1,0.7617258,0.6425872
442,100238,2,1,190110,1,1,9,4,9003,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,1,1,2,1,2,2,3,1,2,5,2,1,1,2,4,1,2,2,39,1,6,1,2,1,,,,1,,8,3,8,5,2,,,2,0.6770468,0.5906564
443,100239,2,1,190110,1,3,12,3,12057,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,2,1,8,1,1,2,2,1,,,1,,3,2,1,2,3,2,1,1,34,1,3,1,9,9,,,,9,,6,1,,6,2,,,2,1.2689948,0.9520058
444,100241,2,1,190110,1,3,21,2,21011,R,2,1,1,1,3,1,1,2,,,1,2,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,,2,,2,2,1,1,3,2,1,2,22,6,3,1,2,9,,,,9,,3,3,1,2,2,,,2,1.0670331,0.7724762
445,100242,2,1,190110,1,1,9,4,9003,,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,1,1,1,2,1,2,2,99,6,3,1,2,1,,,,1,,2,3,2,2,2,,,1,0.8509316,0.8556273
446,100244,2,1,190110,1,3,13,5,13121,S,2,2,1,1,1,1,1,2,,,1,3,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,1,1,,1,2,1,2,2,1,2,2,49,3,6,5,2,1,,,,1,,5,2,,3,3,,,2,1.1727591,1.0255136
447,100245,2,1,190110,1,3,12,4,51087,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,2,2,1,2,2,1,1,3,1,,,2,2,1,1,8,1,2,1,40,1,4,1,2,1,3,,,4,,8,3,1,2,2,,,1,1.451793,1.3736165
448,100246,2,1,190110,1,3,24,5,24510,U,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,1,1,2,1,1,1,1,2,5,1,1,,3,1,1,1,40,1,2,2,30,1,8,1,2,1,,,,1,,9,2,,2,2,,,2,2.1326883,1.7366375
449,100247,2,1,190110,1,3,12,4,12031,,2,1,1,1,1,1,2,,,,1,4,1,1,1,2,2,1,8,2,,1,1,1,1,2,1,1,1,1,1,3,2,1,,1,1,1,1,6,2,1,2,40,1,5,3,2,1,,,,1,,99,3,8,9,2,,,2,1.3212089,1.1437348
450,100248,2,1,190110,1,3,12,3,12009,U,2,1,1,1,1,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,2,1,2,,,,,5,2,1,2,45,1,2,2,58,1,7,1,2,1,,,,1,,9,3,2,3,3,,,1,0.4063915,0.3621883
451,100249,2,1,190110,1,3,51,2,51087,U,2,2,2,2,,2,2,,,,1,9,2,2,1,2,1,2,1,1,dont want to pay,6,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,4,1,2,2,82,5,6,3,2,1,,,,1,,99,1,,1,,,,1,0.3558412,0.6902364
452,100250,2,1,190110,1,3,37,1,37121,R,2,2,2,2,,2,2,,,,2,,2,2,2,1,,2,1,2,,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,1,1,2,2,75,3,2,3,2,1,,,,1,,1,3,8,1,,,,2,1.1064614,1.6792648
453,100251,2,1,190110,1,3,12,2,12069,,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,2,1,2,1,2,2,2,2,3,,3,,5,2,1,2,4,1,2,2,61,3,4,1,2,1,,,,1,,98,3,1,9,1,,,1,0.6687677,0.6425872
454,100254,2,1,190110,1,2,26,1,26007,R,2,1,1,2,2,1,1,2,,,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,2,,,1,1,2,30,1,2,2,58,1,3,1,2,1,,,,1,,5,1,,3,2,,,2,0.981012,0.8736563
455,100255,2,1,190110,1,3,45,3,45045,S,2,1,1,1,2,2,1,2,,,1,1,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,1,1,1,2,1,2,2,54,1,4,4,2,1,,,,1,,3,1,,7,3,,,2,1.131246,0.9517166
456,100258,2,1,190110,1,1,36,5,36047,U,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,50,1,2,2,20,6,4,2,2,1,,,,1,,1,2,,2,2,,,1,2.2433447,2.0699671
457,100259,2,1,190110,1,2,39,3,39049,U,2,1,1,1,2,2,1,2,,,1,3,,,,,,,,,,,2,2,2,2,1,2,2,1,2,,,,,3,1,1,1,96,1,2,2,40,1,6,1,2,1,,,,1,,9,1,,4,2,,,1,0.6020104,0.6147414
458,100260,2,1,190110,1,3,21,4,21111,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,1,1,2,1,1,2,2,1,,3,3,,2,2,1,1,10,1,2,2,30,1,8,1,2,1,,,,1,,9,2,,2,2,,,2,0.9556877,0.700207
459,100261,2,1,190110,1,3,12,2,12105,,2,2,1,1,5,1,1,2,,,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,2,1,2,0,,,,87,5,3,3,2,1,,,,1,,3,1,,1,,,,9,1.2357776,1.6996992
460,100264,2,1,190110,1,3,1,2,13317,U,2,1,1,1,2,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,25,1,2,2,77,5,7,3,2,1,,,,1,,7,3,1,1,,,,1,0.3474053,0.5101285
461,100266,2,1,190110,1,3,12,4,12031,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,1,1,1,1,2,2,2,2,,5,1,5,2,2,2,2,0,,,,25,2,3,2,2,2,,,,2,,3,3,2,4,2,,,2,0.9495142,0.7546925
462,100269,2,1,190110,1,3,51,5,51730,S,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,2,1,1,2,2,1,2,2,5,,5,5,,1,1,2,6,1,2,2,67,3,6,1,2,1,,,,1,,6,3,1,1,,,,1,0.4530663,0.9151438
463,100270,2,1,190110,1,3,24,4,11001,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,2,1,2,1,2,2,4,2,1,,1,1,1,2,20,1,2,2,32,6,7,1,2,2,,,,2,,7,2,,2,2,,,2,0.7076008,0.5333517
464,100272,2,1,190110,1,3,13,4,13121,S,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,2,1,1,2,,5,3,,2,1,1,1,4,1,1,1,50,1,7,1,2,1,,,,1,,8,2,,3,2,,,2,0.5696713,0.4403462
465,100273,2,1,190110,1,3,12,2,12119,R,2,2,1,1,5,2,1,2,,,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,5,1,2,2,65,1,5,3,2,1,,,,1,,99,9,9,3,3,,,1,0.8909002,1.2270136
466,100274,2,1,190110,1,3,45,3,45083,U,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,2,2,1,0,,,,54,1,3,1,2,1,,,,1,,4,3,1,4,2,,,2,1.4609538,1.1681979
467,100275,2,1,190112,1,1,42,4,42003,,2,1,1,1,3,1,2,,,,1,1,2,1,1,1,2,1,2,2,,2,2,2,1,2,1,1,2,1,2,,,2,,5,2,2,2,1,1,2,2,38,9,6,4,2,2,,,,2,,1,2,,9,9,,,2,0.7221732,0.5720176
468,100276,2,1,190110,1,3,21,4,18037,S,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,2,2,2,1,,5,1,,1,2,1,1,0,,,,34,1,4,1,2,1,,,,1,,8,3,2,3,2,,,2,1.9916083,1.4892578
469,100282,2,1,190110,1,3,12,3,12009,,2,2,1,1,3,2,1,2,,,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,3,,,1,1,2,2,2,2,1,87,5,6,3,2,1,,,,1,,4,4,1,1,,,,1,0.3474053,0.6950989
470,100285,2,1,190110,1,1,25,4,25025,S,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,1,2,2,1,2,5,4,1,5,1,2,1,2,50,1,2,1,57,1,6,4,2,1,5,,,4,,6,2,,2,2,,,1,0.5882982,0.5321227
471,100287,2,1,190112,1,1,42,3,42079,S,2,2,2,2,,2,2,,,,2,,8,2,1,2,,1,2,2,,4,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,72,3,3,4,2,1,,,,1,,2,1,,1,,,,2,1.139572,1.7242331
472,100289,2,1,190110,1,3,51,3,51061,S,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,1,,2,1,1,2,1,1,2,2,49,1,4,1,2,1,,,,1,,8,1,,4,4,,,2,1.487938,1.4477524
473,100290,2,1,190110,1,2,39,4,39061,,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,3,,,1,1,2,10,1,1,1,71,1,6,1,2,1,,,,1,,99,1,,2,2,,,1,0.4212071,0.5935862
474,100294,2,1,190110,1,1,25,4,25021,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,3,3,,4,2,1,2,3,1,2,2,70,1,6,3,2,1,,,,1,,6,2,,2,2,,,1,0.4247968,0.6319373
475,100296,2,1,190110,1,3,51,2,51073,S,2,1,1,1,1,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,2,1,1,2,5,1,2,2,55,6,6,1,2,1,,,,1,,8,1,,1,,,,2,0.4390651,0.3621883
476,100297,2,1,190110,1,1,25,4,26125,S,2,2,1,1,3,2,1,2,,,1,1,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,1,1,1,3,1,1,2,48,1,6,8,2,1,,,,1,,9,1,,5,2,,,1,0.6839943,0.7081513
477,100298,2,1,190110,1,2,39,5,39035,U,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,2,1,2,1,2,1,1,2,5,,4,,1,2,1,2,20,1,2,2,48,3,6,1,2,1,,,,1,,1,4,8,1,,,,2,1.1213513,0.9703455
478,100302,2,1,190110,1,1,36,5,36061,U,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,25,2,3,1,2,2,,,,2,,3,3,8,2,2,,,2,1.413728,1.2367922
479,100303,2,1,190110,1,3,54,2,54107,S,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,3,1,,3,2,1,1,0,,,,62,1,3,3,2,1,,,,1,,6,2,,2,2,,,1,0.9737664,0.9345629
480,100304,2,1,190110,1,3,12,3,12099,S,2,1,1,1,3,1,1,2,,,1,1,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,2,1,2,3,1,2,2,58,2,5,6,2,1,,,,1,,5,1,,2,1,,,2,0.7525738,0.647114
481,100306,2,1,190110,1,1,42,3,42079,S,2,1,2,1,4,2,2,,,,1,1,2,2,2,2,1,1,1,2,,3,2,2,2,2,2,2,2,2,2,,,,,,2,2,1,0,,,,23,6,2,1,2,1,,,,1,,7,1,,1,,,,2,0.9839643,0.7836264
482,100308,2,1,190110,1,1,9,4,9003,S,2,2,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,2,1,2,2,2,2,4,3,1,,3,2,1,2,3,1,2,2,51,2,8,1,2,1,,,,1,,8,2,,2,2,,,2,0.8049024,0.7081513
483,100310,2,1,190110,1,4,53,4,51059,U,2,1,1,1,1,1,1,2,,,1,3,,,,,,,,,,,1,2,1,2,1,2,2,1,1,4,,2,,1,2,1,1,5,2,1,2,23,6,6,1,2,3,,,,3,,9,3,2,1,,,,2,1.2282957,0.9958969
484,100311,2,1,190110,1,3,45,3,45045,S,2,2,1,1,1,1,1,3,,,1,3,,,,,,,,,,,2,1,1,2,1,2,2,1,2,,2,1,,4,1,1,2,45,1,2,2,44,2,6,1,2,1,,,,1,,8,3,2,5,3,,,2,1.2699325,1.0809982
485,100312,2,1,190110,1,1,34,5,34013,S,2,2,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,2,1,2,1,1,2,1,1,3,,2,,2,1,1,1,5,1,1,2,32,1,6,2,2,3,,,,3,,7,2,,4,2,,,1,1.7764571,1.9222286
486,100313,2,1,190110,1,1,36,5,36061,U,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,1,2,2,2,,1,3,,3,1,1,1,6,1,2,2,48,1,7,1,2,1,,,,1,,9,1,,4,3,,,1,0.7470666,0.647083
487,100314,2,1,190110,1,3,12,4,12011,U,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,1,2,1,2,2,1,2,,1,2,,2,1,1,2,3,1,2,1,55,6,6,1,2,1,,,,1,,9,1,,1,,,,2,0.3978784,0.3621883
488,100316,2,1,190110,1,2,39,4,39095,U,2,1,2,2,,2,2,,,,2,,2,2,2,2,,2,2,1,"Read newspapers and listed to public radio, classical music, etc.",,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,20,1,2,2,75,4,3,3,2,1,,,,1,,2,3,2,1,,,,2,1.1608089,1.1903193
489,100317,2,1,190110,1,3,45,3,45079,S,2,1,1,1,1,1,1,2,,,1,3,,,,,,,,,,,1,2,2,2,1,2,2,2,1,1,,,,1,1,1,1,1,1,2,2,19,6,3,7,2,4,,,,5,,5,3,2,1,,,,2,1.1566765,0.9734921
490,100320,2,1,190110,1,2,17,2,17167,U,2,1,2,1,3,2,1,2,,,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,2,2,5,1,2,2,75,5,4,3,2,1,,,,1,,3,3,2,2,2,,,1,0.7475996,0.9005049
491,100321,2,1,190110,1,2,17,5,17031,U,2,1,2,2,,2,2,,,,1,2,2,2,2,2,1,1,2,2,,9,1,2,1,2,1,2,2,2,2,5,,3,,5,2,1,2,0,,,,50,5,4,4,2,2,,,,2,,3,2,,1,,,,1,1.0779576,1.3956361
492,100322,2,1,190110,1,2,18,3,18163,U,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,2,1,1,1,1,1,2,2,1,,1,1,4,1,1,1,2,6,1,2,2,29,6,4,1,2,3,,,,3,,3,3,2,2,2,,,2,2.0078757,1.4361615
493,100323,2,1,190110,1,2,17,3,17019,S,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,2,1,1,1,1,2,2,1,2,,1,1,3,1,1,1,1,20,1,1,2,39,1,4,1,2,1,,,,1,,8,4,2,5,2,,,2,1.3331098,1.1991074
494,100324,2,1,190110,1,2,20,1,20191,S,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,1,1,2,2,2,2,3,2,1,5,2,1,1,2,6,1,2,2,62,1,5,1,2,1,,,,1,,8,1,,2,2,,,1,0.5725377,0.600709
495,100325,2,1,190110,1,2,29,1,17119,S,2,1,1,1,2,2,1,2,,,1,1,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,3,1,1,1,5,1,2,2,43,1,3,2,2,1,,,,1,,7,1,,7,4,,,1,1.5602378,1.4439936
496,100326,2,1,190110,1,3,22,1,22117,R,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,2,2,1,1,,,3,,2,1,1,1,0,,,,35,6,3,1,2,1,,,,1,,6,3,1,2,2,,,2,1.6858749,1.5260904
497,100327,2,1,190110,1,2,27,5,27053,U,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,2,1,2,1,2,2,2,2,4,,3,,5,1,1,2,97,1,2,2,70,6,7,3,2,1,,,,1,,4,2,,1,,,,2,0.6964187,0.8659131
498,100328,2,1,190110,1,4,15,2,27053,R,2,1,1,1,1,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,3,1,1,2,0,,,,67,3,6,1,2,1,,,,1,,6,3,2,1,,,,2,0.4088151,0.419585
499,100329,2,1,190110,1,3,48,5,48113,,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,2,1,2,1,2,1,1,1,5,,5,,3,1,1,2,2,1,1,1,30,1,6,1,2,2,,,,2,,7,3,8,2,2,,,2,0.9941967,0.7780441
500,100330,2,1,190110,1,2,19,2,19163,U,2,1,1,1,1,2,1,2,,,1,2,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,2,1,2,4,1,2,2,23,6,4,2,2,1,,,,1,,2,3,1,3,3,,,2,1.6897263,1.2669169
501,100331,2,1,190110,1,3,5,1,5143,R,2,2,1,1,2,1,1,2,,,2,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,1,1,2,99,,,,55,1,6,3,2,1,,,,1,,5,1,,2,2,,,1,0.54773,0.6914075
502,100333,2,1,190110,1,2,29,1,27053,S,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,2,1,2,1,1,2,1,2,,,1,,1,1,1,2,0,,,,48,1,4,1,2,5,,,,5,,99,9,9,3,3,,,2,1.5224162,1.3452416
503,100334,2,1,190110,1,3,1,1,1025,,2,2,1,1,3,2,1,2,,,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,3,1,1,2,4,1,2,1,99,9,99,99,9,9,,,,9,,99,9,9,9,9,,,9,0.644551,0.6914075
504,100336,2,1,190110,1,3,22,1,22127,R,2,1,1,1,2,2,2,,,,1,3,2,1,1,2,2,1,8,2,,1,2,2,2,2,1,2,1,2,2,,,,,4,2,1,1,12,1,2,2,25,6,3,4,2,1,,,,1,,98,4,8,3,3,,,1,1.1500199,0.9339809
505,100339,2,1,190110,1,3,47,3,47037,U,2,2,1,1,1,1,1,2,,,1,4,,,,,,,,,,,1,1,1,1,1,2,1,1,2,3,1,1,4,4,1,1,1,5,1,2,1,36,1,7,1,2,2,,,,2,,9,2,,4,2,,,2,1.2326545,0.9387252
506,100340,2,1,190110,1,3,12,3,55071,U,2,2,1,1,1,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,2,1,1,1,2,2,1,2,1,,2,1,1,2,1,1,2,26,2,6,1,2,1,,,,1,,6,2,,2,2,,,2,1.6017877,1.3190657
507,100342,2,1,190110,1,2,55,3,55139,U,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,2,1,1,1,2,2,2,2,3,,1,2,1,1,1,1,1,2,2,1,49,1,6,1,2,1,,,,1,,4,1,,2,2,,,2,0.5748027,0.4616651
508,100343,2,1,190110,1,2,46,2,46099,U,2,1,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,1,2,2,2,2,1,4,5,4,3,2,1,1,3,1,2,2,35,1,4,1,2,1,,,,1,,6,2,,3,2,,,2,1.3940645,1.1907193
509,100344,2,1,190110,1,3,10,4,48113,S,2,1,1,1,2,2,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,1,2,1,2,,,3,,2,1,1,2,36,2,1,1,34,1,7,1,2,2,,,,2,,9,3,2,4,2,,,2,0.7076008,0.5333517
510,100347,2,1,190110,1,2,19,2,19113,U,2,1,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,1,1,2,1,2,2,1,2,,4,1,,3,1,1,1,2,1,2,2,51,1,3,1,2,1,,,,1,,8,5,1,3,3,,,2,1.460785,1.0976219
511,100348,2,1,190110,1,2,55,1,55095,R,2,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,1,2,2,15,1,1,2,70,2,6,3,2,1,,,,1,,7,3,1,2,2,,,1,0.4161694,0.6452529
512,100349,2,1,190110,1,1,9,4,27053,U,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,1,1,1,1,2,2,2,2,,1,1,5,3,1,1,2,20,1,2,1,26,2,7,7,2,1,,,,1,,5,2,,2,2,,,2,0.9215829,0.7053451
513,100352,2,1,190110,1,3,48,2,48183,S,2,2,1,1,1,1,2,,,,1,1,2,1,2,2,1,2,8,2,,,2,2,1,1,1,2,1,1,2,,,1,5,3,1,1,2,30,1,1,2,46,1,6,1,2,1,,,,1,,8,3,2,2,2,,,2,0.9210927,0.7734815
514,100353,2,1,190110,1,2,17,1,17029,R,2,1,1,1,3,2,1,1,8,,1,2,1,2,1,2,1,2,2,8,,1,2,2,2,1,1,8,2,2,2,,,,2,3,1,1,1,0,,,,55,1,2,1,2,1,,,,1,,6,3,1,4,4,,,1,0.9495261,0.8736563
515,100354,2,1,190110,1,2,18,2,17029,U,2,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,0,,,,57,1,6,1,2,1,,,,1,,6,2,,4,3,,,2,0.4198187,0.3621883
516,100356,2,1,190110,1,3,48,2,48039,S,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,3,1,1,2,6,1,2,1,57,1,6,3,2,1,,,,1,,8,1,,2,2,,,2,0.719882,0.6998211
517,100359,2,1,190110,1,4,4,3,17043,S,2,2,1,1,2,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,2,2,1,1,1,5,5,3,3,,1,1,1,13,1,1,1,24,1,6,1,2,1,,,,1,,7,3,2,2,2,,,2,1.3528424,1.0664393
