title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
Love Is the Devil  Study for a Portrait of Francis Bacon,1998,Francis Bacon,Artist,White,No,Male
Lovelace,2013,Linda Lovelace,Actress,White,No,Female
Low Down,2014,Joe Albany,Musician,White,No,Male
Lucky Luciano,1973,Charles Luciano,Criminal,White,No,Male
Lust for Life,1956,Vincent van Gogh,Artist,White,No,Male
Luther,2003,Martin Luther,Historical,White,No,Male
MacArthur,1977,Douglas MacArthur,Military,White,No,Male
Machine Gun Preacher,2011,Sam Childers,Other,White,No,Male
Madame Curie,1943,Pierre Curie,Academic,White,No,Male
Madame Curie,1943,Marie Curie,Academic,White,No,Female
Mahler,1974,Gustav Mahler,Musician,White,No,Male
Malcolm X,1992,Malcolm X,Activist,Black,Yes,Male
Man of a Thousand Faces,1957,Lon Chaney,Actor,White,No,Male
Mandela  Long Walk to Freedom,2013,Nelson Mandela,Government,Black,Yes,Male
Marie Antoinette,1938,Marie Antoinette,Historical,White,No,Female
Marie Antoinette,2006,Marie Antoinette,Historical,White,No,Female
Mary of Scotland,1936,Mary Stuart Queen of Scots,Historical,White,No,Female
Mary Queen of Scots,1971,Mary Stuart Queen of Scots,Historical,White,No,Female
Mask,1985,Roy Lee Rocky Dennis,Other,White,No,Male
Meetings with Remarkable Men,1979,GI Gurdjieff ,Other,White,No,Male
Men of Honor,2000,Carl Brashear,Athlete,Black,Yes,Male
Mesmer,1994,Franz Anton Mesmer,Medicine,White,No,Male
Mesrine Part 1  Killer Instinct,2008,Jacques Mesrine,Criminal,White,No,Male
Mesrine Part 2  Public Enemy 1,2008,Jacques Mesrine,Criminal,White,No,Male
Michael Collins,1996,Michael Collins,Activist,White,No,Male
Milk,2008,Harvey Milk,Activist,White,No,Male
Million Dollar Arm,2014,J B Bernstein,Athlete,White,No,Male
Million Dollar Mermaid,1952,Annette Kellerman,Athlete,White,No,Female
Mishima A Life in Four Chapters,1985,Yukio Mishima,Author,Asian,Yes,Male
Miss Potter,2006,Beatrix Potter,Author,White,No,Female
Modigliani,2004,Amedeo Modigliani,Artist,White,No,Male
Mommie Dearest,1981,Joan Crawford,Actress,White,No,Female
Moneyball,2011,Billy Beane,Athlete,White,No,Male
Monsieur N,2003,Napoleon Bonaparte,Historical,White,No,Male
Mr Turner,2014,JMW Turner,Artist,White,No,Male
Mrs Brown,1997,Victoria,Historical,White,No,Female
Mrs Parker and the Vicious Circle,1994,Dorothy Parker,Author,White,No,Female
Muhammad  The Last Prophet,2002,Muhammad,Historical,Middle Eastern,Yes,Male
Music Within,2007,Richard Pimentel,Activist,Mutliracial,Yes,Male
My Dinner with Andre,1981,Andre Gregory,Actor,White,No,Male
My Dinner with Andre,1981,Wallace Shawn,Actor,White,No,Male
My Left Foot,1989,Christy Brown,Artist,White,No,Male
My Life So Far,1999,Denis Forman,Other,White,No,Male
My One and Only,2009,George Hamilton,Other,White,No,Male
Ned Kelly,2003,Ned Kelly,Criminal,White,No,Male
Nicholas and Alexandra,1971,Tsarina Alexandra,Historical,White,No,Female
Nicholas and Alexandra,1971,Tsar Nicholas II,Historical,White,No,Male
Nightwatching,2007,Rembrandt,Artist,White,No,Male
Nixon,1995,Richard Milhous Nixon,Government,White,No,Male
Nora,2000,James Joyce,Author,White,No,Male
Notorious,2009,Christopher Wallace,Musician,Black,Yes,Male
Nowhere Boy,2009,John Lennon,Musician,White,No,Male
October Sky,1999,Homer Hickam,Other,Mutliracial,Yes,Male
One Foot in Heaven,1941,William Spence,Other,White,No,Male
One Night with the King,2006,Hadassah,Historical,Middle Eastern,No,Female
Out of Africa,1985,Karen Blixen,Other,White,No,Female
Papillon,1973,Henri Papillon Charriere,Criminal,White,No,Male
Patton,1970,George Patton,Military,White,No,Male
Patty Hearst,1988,Patty Hearst,Other,White,No,Female
Permanent Midnight,1998,Jerry Stahl,Comedian,White,No,Male
Persepolis,2007,Marjane Satrapi,Activist,Middle Eastern,Yes,Female
Phantom Punch,2008,Sonny Liston,Athlete,Black,Yes,Male
Philomena,2013,Philomena Lee,Other,White,No,Female
Pierrepoint  The Last Hangman,2005,Albert Pierrepoint,Other,White,No,Male
Pinero,2001,Miguel Pinero,Actor,Hispanic,Yes,Male
Pollock,2000,Jackson Pollock,Artist,White,No,Male
Prefontaine,1997,Steve Prefontaine,Athlete,White,No,Male
Pride of the Marines,1945,Al Schmid,Military,White,No,Male
Private Parts,1997,Howard Stern,Media,White,No,Male
PT 109,1963,John F Kennedy,Military,White,No,Male
Queen Christina,1933,Christina queen of Sweden,Historical,White,No,Female
Quills,2000,Marquis de Sade,Criminal,White,No,Male
Quo Vadis,1951,Lygia,Historical,White,No,Female
Quo Vadis,1951,Marcus Vinicius,Historical,White,No,Male
Radio,2003,James Robert Kennedy,Athlete,Black,Yes,Male
Ragamuffin,2014,Rich Mullins,Singer,White,No,Male
Raging Bull,1980,Jake LaMotta,Athlete,White,No,Male
Rasputin  The Mad Monk,1966,Grigori Rasputin,Other,White,No,Male
Ray,2004,Ray Charles,Musician,Black,Yes,Male
Reds,1981,John Reed,Media,White,No,Male
Regeneration,1915,Owen Kildare,Other,White,No,Male
Rembrandt,1936,Rembrandt,Artist,White,No,Male
Remember the Titans,2000,Herman Boone,Athlete,Black,Yes,Male
Rescue Dawn,2006,Dieter Dengler,Military,White,No,Male
Restoration,1995,Charles II,Historical,White,No,Male
Reversal of Fortune,1990,Claus von Bulow,Other,White,No,Male
Reversal of Fortune,1990,Sunny von Bulow,Other,White,No,Female
Rhapsody in Blue,1945,George Gershwin,Musician,White,No,Male
Richard III,1955,Richard III of England,Historical,White,No,Male
Rob Roy,1995,Robert Roy MacGregor ,Other,White,No,Male
Romero,1989,Oscar Romero,Other,Hispanic,No,Male
